shipping_id,order_id,shipping_date,delivery_date,carrier,tracking_number,status
82,82,2024-07-13,2024-07-15,FedEx,TRK00781675,shipped
83,83,2024-05-04,2024-05-09,DHL,TRK98175153,pending
84,84,2025-02-01,2025-02-07,DHL,TRK35550038,delivered
85,85,2025-04-19,2025-04-25,USPS,TRK38349500,delivered
86,86,2024-07-03,2024-07-08,DHL,TRK49638544,delivered
87,87,2025-08-18,,USPS,TRK98542206,delivered
88,88,2025-02-28,,UPS,TRK98696230,delivered
89,89,2024-07-24,2024-08-06,USPS,TRK75479913,delivered
90,90,2024-07-28,2024-08-07,Aramex,TRK67067028,delivered
91,91,2025-02-18,2025-02-27,Aramex,TRK96172254,delivered
92,92,2023-11-25,2023-11-28,Aramex,TRK35550470,delivered
93,93,2024-01-01,,FedEx,TRK39730552,pending
94,94,2023-10-05,2023-10-17,Aramex,TRK53744079,shipped
95,95,2024-04-09,2024-04-13,USPS,TRK72436001,shipped
96,96,2024-08-05,2024-08-10,DHL,TRK93461731,delivered
97,97,2025-08-22,2025-08-26,Aramex,TRK91609969,shipped
98,98,2024-08-14,2024-08-25,FedEx,TRK09434556,shipped
99,99,2025-05-21,2025-06-03,DHL,TRK31184319,delivered
100,100,2024-11-06,2024-11-08,Aramex,TRK08510405,delivered
101,101,2024-01-12,2024-01-17,DHL,TRK29119600,delivered
102,102,2024-02-01,2024-02-11,DHL,TRK71515924,delivered
103,103,2025-09-11,2025-09-17,Aramex,TRK13116277,shipped
104,104,2024-02-08,2024-02-11,UPS,TRK49429611,delivered
105,105,2023-10-26,2023-11-08,FedEx,TRK84968072,delivered
106,106,2024-10-13,2024-10-26,UPS,TRK36020308,shipped
107,107,2025-08-09,2025-08-23,USPS,TRK70205090,delivered
108,108,2024-08-19,2024-08-24,FedEx,TRK30897125,shipped
109,109,2024-04-30,2024-05-08,Aramex,TRK37450651,shipped
110,110,2024-01-23,2024-01-29,DHL,TRK15369532,delivered
111,111,2024-08-27,2024-09-01,FedEx,TRK49654174,cancelled
112,112,2024-11-14,2024-11-21,Aramex,TRK29547784,delivered
113,113,2024-05-29,2024-06-07,FedEx,TRK47281800,delivered
114,114,2024-12-31,2025-01-01,UPS,TRK55206212,delivered
115,115,2024-05-18,2024-05-19,FedEx,TRK52293210,delivered
116,116,2024-01-31,2024-02-01,USPS,TRK14961465,delivered
117,117,2025-07-27,2025-08-08,UPS,TRK42953555,delivered
118,118,2025-07-01,2025-07-11,FedEx,TRK05891649,delivered
119,119,2025-02-27,2025-03-06,FedEx,TRK45400445,shipped
120,120,2024-05-15,2024-05-28,DHL,TRK07841695,delivered
121,121,2024-05-24,2024-06-04,DHL,TRK08820460,delivered
122,122,2024-01-10,,Aramex,TRK68195269,delivered
123,123,2025-01-30,2025-02-06,UPS,TRK87757525,delivered
124,124,2025-08-04,2025-08-08,Aramex,TRK77869954,shipped
125,125,2025-01-17,,USPS,TRK94851577,delivered
126,126,2024-10-20,2024-10-28,USPS,TRK13686837,delivered
127,127,,,DHL,TRK92860180,delivered
128,128,2024-12-11,2024-12-18,USPS,TRK65255281,pending
129,129,2025-01-28,2025-02-11,USPS,TRK66724307,delivered
130,130,2025-01-25,2025-01-27,FedEx,TRK60245197,delivered
131,131,2024-04-23,2024-04-28,DHL,TRK00613899,shipped
132,132,2025-03-12,2025-03-22,FedEx,TRK99307331,delivered
133,133,2024-07-24,,USPS,TRK55626353,shipped
134,134,2024-07-12,2024-07-23,USPS,TRK38007639,delivered
135,135,2024-07-06,,DHL,TRK01777693,cancelled
136,136,2025-07-05,2025-07-07,USPS,TRK06544894,delivered
137,137,2025-08-21,2025-08-28,UPS,TRK77535306,delivered
138,138,2025-03-25,2025-04-02,Aramex,TRK49099910,delivered
139,139,2025-08-15,2025-08-16,Aramex,TRK89649564,delivered
140,140,2024-08-25,,UPS,TRK34845724,delivered
141,141,2024-05-21,,FedEx,TRK51664488,shipped
142,142,2024-01-12,2024-01-16,USPS,TRK80403523,delivered
143,143,2024-09-05,2024-09-13,DHL,TRK77626951,delivered
144,144,2024-01-11,2024-01-13,FedEx,TRK07975840,cancelled
145,145,2025-05-18,2025-05-30,USPS,TRK72131971,delivered
146,146,2024-06-29,2024-07-02,FedEx,TRK31993554,pending
147,147,2023-09-19,,FedEx,TRK79956461,delivered
148,148,2025-04-22,2025-05-05,FedEx,TRK40410976,shipped
149,149,2024-12-09,2024-12-10,UPS,TRK82541290,delivered
150,150,2024-07-02,2024-07-11,DHL,TRK06032711,delivered
151,151,2024-12-29,,DHL,TRK15286025,delivered
152,152,2024-09-29,2024-10-02,USPS,TRK86695003,shipped
153,153,2024-07-23,2024-08-01,UPS,TRK59389676,delivered
154,154,2024-11-05,2024-11-10,Aramex,TRK80752096,delivered
155,155,,,Aramex,TRK92903943,delivered
156,156,2025-05-30,2025-06-04,FedEx,TRK02620139,shipped
157,157,2024-08-04,,Aramex,TRK37030537,delivered
158,158,2023-10-08,2023-10-10,UPS,TRK60902853,delivered
159,159,2023-10-02,2023-10-16,UPS,TRK78117096,delivered
160,160,2024-02-02,,DHL,TRK38794749,shipped
161,161,2024-09-06,2024-09-15,UPS,TRK36912273,shipped
162,162,,,Aramex,TRK40252332,delivered
163,163,2025-06-25,2025-07-04,DHL,TRK58654035,delivered
164,164,2025-06-23,2025-07-07,DHL,TRK95766620,delivered
165,165,2023-10-10,2023-10-20,DHL,TRK60713642,delivered
166,166,2025-01-08,2025-01-18,Aramex,TRK78073251,delivered
167,167,2025-01-31,2025-02-13,DHL,TRK74105704,delivered
168,168,2024-01-14,2024-01-28,FedEx,TRK39712652,delivered
169,169,2024-10-03,2024-10-17,DHL,TRK68182605,delivered
170,170,2023-10-01,2023-10-12,Aramex,TRK02729782,delivered
171,171,2024-10-11,2024-10-15,FedEx,TRK49423814,delivered
172,172,2023-12-09,2023-12-17,DHL,TRK44370847,delivered
173,173,2024-04-09,,USPS,TRK57726221,delivered
174,174,2025-06-18,2025-07-01,USPS,TRK23956530,delivered
175,175,2024-04-29,2024-05-05,UPS,TRK42597427,pending
176,176,2024-12-23,2024-12-28,USPS,TRK10732006,delivered
177,177,2024-09-07,2024-09-15,DHL,TRK93651436,delivered
178,178,2025-07-25,2025-07-30,UPS,TRK46574663,cancelled
179,179,2024-02-21,2024-03-01,Aramex,TRK52749143,delivered
180,180,,,FedEx,TRK34759490,delivered
181,181,2024-11-15,,Aramex,TRK22241687,cancelled
182,182,2024-12-03,2024-12-12,FedEx,TRK91525342,delivered
183,183,2024-02-07,2024-02-15,UPS,TRK31183100,shipped
184,184,2024-12-09,,FedEx,TRK12032263,delivered
185,185,2025-02-08,2025-02-22,DHL,TRK38949778,delivered
186,186,2023-09-23,2023-10-03,DHL,TRK91436629,shipped
187,187,2025-07-08,,Aramex,TRK26006588,shipped
188,188,2025-08-02,,Aramex,TRK52527632,delivered
189,189,,,UPS,TRK41283973,delivered
190,190,2023-12-14,2023-12-17,FedEx,TRK65577853,delivered
191,191,,,UPS,TRK58835056,delivered
192,192,,,FedEx,TRK42602530,cancelled
193,193,2025-01-03,,DHL,TRK07254726,delivered
194,194,2024-11-27,2024-12-08,UPS,TRK92451359,delivered
195,195,2025-07-10,,USPS,TRK07570502,delivered
196,196,2024-08-28,,Aramex,TRK54317569,shipped
197,197,2024-02-12,2024-02-21,Aramex,TRK48981676,delivered
198,198,2023-09-16,2023-09-19,UPS,TRK58442005,delivered
199,199,2024-03-23,2024-03-29,UPS,TRK27876586,delivered
200,200,2025-05-13,2025-05-23,FedEx,TRK73860268,delivered
201,201,2025-05-26,2025-06-07,FedEx,TRK12505834,delivered
202,202,2025-02-12,2025-02-14,FedEx,TRK16439777,shipped
203,203,2024-07-28,,Aramex,TRK10506941,delivered
204,204,2023-10-18,,DHL,TRK04903997,delivered
205,205,2024-07-18,2024-07-29,USPS,TRK82512552,shipped
206,206,2024-03-02,2024-03-10,Aramex,TRK08151619,cancelled
207,207,2024-07-24,,UPS,TRK53857275,pending
208,208,2025-09-07,2025-09-21,FedEx,TRK15707510,delivered
209,209,2025-05-17,2025-05-24,USPS,TRK62689820,delivered
210,210,2025-02-19,2025-02-27,UPS,TRK68037661,delivered
211,211,2024-09-10,,UPS,TRK80174883,delivered
212,212,2023-11-21,2023-11-30,USPS,TRK21301336,delivered
213,213,2023-12-08,2023-12-14,USPS,TRK93401576,delivered
214,214,2025-02-13,2025-02-18,Aramex,TRK78902926,shipped
215,215,2023-11-22,2023-11-30,USPS,TRK30630262,delivered
216,216,2025-09-07,2025-09-16,USPS,TRK81521152,delivered
217,217,2025-04-30,,UPS,TRK40255448,shipped
218,218,2023-11-06,2023-11-11,DHL,TRK50545739,delivered
219,219,2023-09-29,2023-10-06,Aramex,TRK41620888,delivered
220,220,2023-10-18,2023-10-27,UPS,TRK25513334,delivered
221,221,2023-12-15,2023-12-19,FedEx,TRK32827442,delivered
222,222,2024-02-09,2024-02-19,Aramex,TRK52899109,shipped
223,223,2023-10-10,2023-10-12,USPS,TRK28291736,shipped
224,224,2025-03-05,2025-03-17,DHL,TRK04029536,delivered
225,225,2025-05-22,,FedEx,TRK42418290,delivered
226,226,2025-05-09,,FedEx,TRK51770731,delivered
227,227,2024-02-25,2024-03-06,FedEx,TRK52786321,delivered
228,228,2025-05-27,2025-05-31,Aramex,TRK59782847,pending
229,229,2025-03-24,2025-03-27,Aramex,TRK86089617,pending
230,230,2025-07-29,2025-08-09,UPS,TRK98869836,shipped
231,231,2024-05-12,2024-05-26,USPS,TRK72212211,cancelled
232,232,2025-07-08,2025-07-12,Aramex,TRK14349404,delivered
233,233,2024-12-03,2024-12-06,Aramex,TRK29885856,delivered
234,234,2024-09-15,2024-09-20,DHL,TRK20226348,delivered
235,235,2025-08-18,2025-08-26,USPS,TRK67089804,delivered
236,236,2024-08-23,2024-08-25,Aramex,TRK31212599,shipped
237,237,2023-12-25,,USPS,TRK27241785,delivered
238,238,2024-02-29,,USPS,TRK46122161,delivered
239,239,2024-10-12,2024-10-18,FedEx,TRK43153333,delivered
240,240,,,FedEx,TRK99961558,cancelled
241,241,2025-01-11,,DHL,TRK05924390,delivered
242,242,2023-10-07,,FedEx,TRK81556864,delivered
243,243,2023-12-14,2023-12-28,FedEx,TRK49370878,delivered
244,244,2025-04-17,2025-04-23,DHL,TRK61936726,delivered
245,245,2024-09-21,2024-10-03,UPS,TRK49867989,delivered
246,246,2024-09-14,2024-09-21,Aramex,TRK16549508,delivered
247,247,,,DHL,TRK74791097,shipped
248,248,2024-09-29,,UPS,TRK71863473,delivered
249,249,,,FedEx,TRK86922577,pending
250,250,2024-06-08,2024-06-22,UPS,TRK89999595,delivered
251,251,2025-07-06,,FedEx,TRK11583321,delivered
252,252,2024-03-06,2024-03-15,DHL,TRK46415025,delivered
253,253,2024-05-27,2024-05-30,FedEx,TRK67458331,delivered
254,254,2024-04-02,2024-04-12,FedEx,TRK23259013,delivered
255,255,2024-02-02,2024-02-12,USPS,TRK22095400,delivered
256,256,,,FedEx,TRK58747330,delivered
257,257,2025-04-17,2025-04-20,Aramex,TRK76813442,delivered
258,258,2024-06-30,2024-07-10,FedEx,TRK26670424,cancelled
259,259,2024-06-17,2024-06-21,UPS,TRK76429206,delivered
260,260,2025-06-21,2025-07-03,Aramex,TRK57109214,delivered
261,261,2025-03-10,2025-03-14,USPS,TRK29531466,shipped
262,262,2024-04-18,2024-04-25,USPS,TRK23997534,delivered
263,263,2024-09-11,2024-09-18,USPS,TRK27857607,shipped
264,264,2024-03-25,,UPS,TRK74295443,delivered
265,265,2025-04-19,2025-04-20,FedEx,TRK51312459,delivered
266,266,2025-03-01,2025-03-07,USPS,TRK13407717,delivered
267,267,2025-03-17,2025-03-21,FedEx,TRK33895176,delivered
268,268,2023-11-28,2023-12-05,USPS,TRK64894850,cancelled
269,269,2025-03-23,,FedEx,TRK71640902,delivered
270,270,2025-02-14,2025-02-19,FedEx,TRK03637927,shipped
271,271,2023-12-04,2023-12-07,FedEx,TRK74138563,shipped
272,272,2024-07-17,2024-07-30,DHL,TRK09437086,delivered
273,273,2025-01-29,2025-02-06,DHL,TRK18067949,delivered
274,274,2024-08-05,2024-08-10,USPS,TRK10717683,delivered
275,275,2025-07-04,2025-07-11,USPS,TRK47510393,delivered
276,276,2024-11-26,2024-12-10,Aramex,TRK54837489,delivered
277,277,2025-07-11,2025-07-17,DHL,TRK86835195,delivered
278,278,2025-01-26,2025-01-27,DHL,TRK74001387,delivered
279,279,2025-03-20,2025-03-21,UPS,TRK57948728,delivered
280,280,,,USPS,TRK77357054,delivered
281,281,2025-08-22,2025-09-03,Aramex,TRK92573511,delivered
282,282,2024-08-07,2024-08-18,Aramex,TRK12509946,shipped
283,283,2023-10-11,2023-10-17,USPS,TRK23011930,delivered
284,284,2025-08-24,2025-09-01,DHL,TRK03860869,cancelled
285,285,2025-08-02,2025-08-12,UPS,TRK92670562,shipped
286,286,2025-01-15,2025-01-28,UPS,TRK77306852,delivered
287,287,2024-02-14,2024-02-26,Aramex,TRK31599600,delivered
288,288,2025-06-14,2025-06-17,UPS,TRK90696991,cancelled
289,289,2024-07-09,2024-07-18,USPS,TRK52939123,delivered
290,290,2024-03-01,,USPS,TRK79995294,delivered
291,291,2025-03-28,,DHL,TRK97153773,shipped
292,292,2024-08-11,,USPS,TRK94379727,delivered
293,293,2024-11-22,2024-11-23,DHL,TRK53185975,cancelled
294,294,2024-05-08,2024-05-17,UPS,TRK65567552,delivered
295,295,2023-12-22,2024-01-01,DHL,TRK26475747,delivered
296,296,2024-10-25,2024-11-05,FedEx,TRK77965822,delivered
297,297,2025-09-01,2025-09-11,USPS,TRK35556175,delivered
298,298,2025-04-27,2025-05-03,FedEx,TRK14095494,delivered
299,299,2025-07-19,2025-07-20,FedEx,TRK18305968,delivered
300,300,2025-08-20,2025-08-29,Aramex,TRK11637698,cancelled
301,301,2025-02-20,2025-03-02,Aramex,TRK34386724,delivered
302,302,2025-06-19,2025-07-03,USPS,TRK89738259,delivered
303,303,2025-04-05,,Aramex,TRK23872672,pending
304,304,2025-03-22,2025-03-26,FedEx,TRK03301009,delivered
305,305,,,USPS,TRK73552047,shipped
306,306,2025-05-23,2025-06-06,USPS,TRK84573113,delivered
307,307,2024-10-25,2024-10-27,FedEx,TRK63644013,delivered
308,308,2025-06-30,2025-07-07,Aramex,TRK72201981,delivered
309,309,2023-11-28,2023-12-12,UPS,TRK87126429,shipped
310,310,2023-10-20,2023-11-01,Aramex,TRK16827981,delivered
311,311,2025-06-10,2025-06-16,Aramex,TRK50981983,delivered
312,312,2024-03-11,2024-03-22,DHL,TRK17336791,delivered
313,313,2023-10-25,2023-10-30,DHL,TRK72959640,delivered
314,314,2023-10-14,2023-10-22,UPS,TRK61260066,delivered
315,315,2025-06-10,,DHL,TRK21663569,delivered
316,316,2025-06-28,,Aramex,TRK39657536,delivered
317,317,2023-12-09,2023-12-11,Aramex,TRK58042715,shipped
318,318,2024-10-09,2024-10-23,USPS,TRK99319722,delivered
319,319,2024-12-12,2024-12-14,Aramex,TRK30919026,delivered
320,320,2023-12-13,2023-12-14,USPS,TRK80022545,delivered
321,321,2024-07-31,,FedEx,TRK92375065,delivered
322,322,2024-09-22,2024-10-06,UPS,TRK40450066,delivered
323,323,,,FedEx,TRK40207681,shipped
324,324,2024-07-30,,Aramex,TRK08935303,delivered
325,325,2024-03-02,2024-03-03,Aramex,TRK50493158,delivered
326,326,2024-02-14,2024-02-15,FedEx,TRK45571724,delivered
327,327,2024-01-01,2024-01-15,Aramex,TRK72163685,delivered
328,328,2024-08-26,2024-08-30,Aramex,TRK85334339,delivered
329,329,,,UPS,TRK07368347,delivered
330,330,2025-01-05,2025-01-09,UPS,TRK59548589,shipped
331,331,2024-03-21,,FedEx,TRK59891804,delivered
332,332,2025-02-21,2025-03-01,FedEx,TRK91320246,delivered
333,333,2024-02-11,2024-02-18,FedEx,TRK44446303,delivered
334,334,2023-11-14,,FedEx,TRK67523922,delivered
335,335,2025-05-12,2025-05-25,Aramex,TRK01152319,delivered
336,336,2024-11-27,,USPS,TRK23192251,delivered
337,337,2024-05-02,2024-05-10,DHL,TRK78242142,pending
338,338,,,FedEx,TRK91732258,cancelled
339,339,2023-11-05,2023-11-09,USPS,TRK34869409,delivered
340,340,2025-04-22,2025-05-03,DHL,TRK58595766,delivered
341,341,2024-07-01,2024-07-10,Aramex,TRK26932636,pending
342,342,2025-04-20,,DHL,TRK07992055,delivered
343,343,2023-10-20,,UPS,TRK41217093,delivered
344,344,2024-08-27,2024-09-05,Aramex,TRK93419471,shipped
345,345,2025-05-25,2025-05-30,UPS,TRK29353471,delivered
346,346,2024-12-04,,Aramex,TRK40722819,shipped
347,347,2024-11-08,2024-11-11,UPS,TRK30747500,shipped
348,348,2024-06-19,,FedEx,TRK99567720,delivered
349,349,2025-03-22,2025-04-01,FedEx,TRK79205328,shipped
350,350,2025-02-16,2025-02-24,DHL,TRK93283402,delivered
351,351,2025-03-07,2025-03-15,DHL,TRK18383098,shipped
352,352,2023-12-07,2023-12-21,Aramex,TRK81290082,delivered
353,353,2025-06-28,,UPS,TRK75551007,shipped
354,354,2023-09-29,,Aramex,TRK42726225,shipped
355,355,2025-02-11,,UPS,TRK08384940,delivered
356,356,2024-08-05,,FedEx,TRK38518497,delivered
357,357,2024-01-26,,FedEx,TRK12844055,delivered
358,358,2025-07-26,2025-08-03,UPS,TRK79450415,shipped
359,359,2025-05-19,2025-05-30,DHL,TRK46338842,delivered
360,360,2024-12-25,2025-01-04,Aramex,TRK79139326,delivered
361,361,2024-05-25,2024-06-04,USPS,TRK07859104,delivered
362,362,2025-02-06,,FedEx,TRK29928199,delivered
363,363,2024-12-16,,USPS,TRK24784972,delivered
364,364,2024-06-03,2024-06-09,DHL,TRK93822128,delivered
365,365,2024-05-17,2024-05-31,USPS,TRK63845192,pending
366,366,2025-05-03,2025-05-15,DHL,TRK33423695,delivered
367,367,2025-08-26,2025-08-27,FedEx,TRK83496401,delivered
368,368,2024-01-12,,UPS,TRK05808039,delivered
369,369,2025-07-05,2025-07-08,DHL,TRK70154498,delivered
370,370,2023-12-21,2023-12-30,DHL,TRK74047630,pending
371,371,2024-10-16,2024-10-18,FedEx,TRK52990185,delivered
372,372,2025-01-15,2025-01-23,USPS,TRK51508625,delivered
373,373,2025-06-17,2025-06-30,DHL,TRK86441580,delivered
374,374,2025-06-15,2025-06-23,UPS,TRK24823011,delivered
375,375,2025-07-17,2025-07-22,UPS,TRK72848643,delivered
376,376,2025-08-26,2025-09-03,Aramex,TRK99706488,delivered
377,377,2023-11-22,2023-12-02,Aramex,TRK47592719,delivered
378,378,2024-08-17,,DHL,TRK07095318,pending
379,379,2023-09-17,,FedEx,TRK57921669,delivered
380,380,2025-05-16,2025-05-21,UPS,TRK79677160,delivered
381,381,2023-10-01,,UPS,TRK76894191,delivered
382,382,2023-12-25,2023-12-28,UPS,TRK42973170,delivered
383,383,2024-12-18,2024-12-31,USPS,TRK36392406,delivered
384,384,2025-04-09,2025-04-11,Aramex,TRK15153137,delivered
385,385,2024-03-12,2024-03-22,DHL,TRK04961029,pending
386,386,2024-10-05,2024-10-12,FedEx,TRK40436872,delivered
387,387,2024-04-20,2024-05-02,USPS,TRK01267957,delivered
388,388,2023-12-26,2023-12-29,FedEx,TRK99836724,delivered
389,389,2025-06-04,2025-06-14,Aramex,TRK41240654,delivered
390,390,2023-12-21,2023-12-31,Aramex,TRK33080644,delivered
391,391,2024-09-09,2024-09-22,Aramex,TRK76354022,delivered
392,392,,,Aramex,TRK90353850,delivered
393,393,2025-09-04,2025-09-06,Aramex,TRK73149828,shipped
394,394,2025-07-24,2025-08-05,USPS,TRK05643488,delivered
395,395,2025-04-05,2025-04-14,UPS,TRK52785817,shipped
396,396,2025-08-30,,FedEx,TRK21338223,delivered
397,397,2025-03-14,,UPS,TRK65751260,delivered
398,398,2024-10-01,2024-10-08,USPS,TRK30238837,delivered
399,399,2024-02-11,2024-02-13,FedEx,TRK28577189,delivered
400,400,,,UPS,TRK40777380,delivered
401,401,2025-02-21,2025-02-25,UPS,TRK99471698,delivered
402,402,2025-07-21,2025-07-29,USPS,TRK27395702,delivered
403,403,2024-10-29,,FedEx,TRK16217447,delivered
404,404,2024-09-16,2024-09-19,Aramex,TRK78715055,cancelled
405,405,2024-01-03,,Aramex,TRK18604524,cancelled
406,406,2025-05-21,,FedEx,TRK03011804,delivered
407,407,2024-12-01,2024-12-09,FedEx,TRK00147004,delivered
408,408,2024-04-20,2024-05-03,UPS,TRK26824729,shipped
409,409,2024-12-20,2024-12-24,UPS,TRK00693474,delivered
410,410,,,UPS,TRK84931047,delivered
411,411,2024-05-29,2024-06-12,UPS,TRK51696714,delivered
412,412,2025-04-04,2025-04-07,UPS,TRK68943814,delivered
413,413,,,Aramex,TRK04229922,delivered
414,414,2024-04-15,2024-04-27,UPS,TRK49316256,delivered
415,415,2024-01-21,2024-02-04,USPS,TRK98663571,shipped
416,416,2024-04-27,,UPS,TRK92683708,delivered
417,417,,,FedEx,TRK57873721,pending
418,418,2024-10-24,2024-11-01,Aramex,TRK98753291,cancelled
419,419,2025-01-11,,USPS,TRK55239318,delivered
420,420,2024-08-20,2024-09-01,Aramex,TRK54274254,delivered
421,421,2025-09-07,2025-09-13,USPS,TRK72186328,shipped
422,422,2024-02-05,2024-02-09,FedEx,TRK39968475,delivered
423,423,,,FedEx,TRK52971616,delivered
424,424,2023-11-07,2023-11-15,FedEx,TRK86895909,cancelled
425,425,2025-08-19,,UPS,TRK58914375,delivered
426,426,2025-01-09,2025-01-14,USPS,TRK02398677,shipped
427,427,2025-08-09,2025-08-18,FedEx,TRK40886682,shipped
428,428,2024-10-30,2024-11-06,Aramex,TRK88914070,cancelled
429,429,2025-01-09,,Aramex,TRK46708644,cancelled
430,430,2025-09-10,2025-09-17,Aramex,TRK53958034,pending
431,431,2025-04-29,2025-05-12,Aramex,TRK36609482,shipped
432,432,2025-01-16,2025-01-22,Aramex,TRK06414206,delivered
433,433,2025-02-17,2025-02-20,DHL,TRK26903722,delivered
434,434,,,DHL,TRK01581610,delivered
435,435,2024-11-15,2024-11-20,UPS,TRK35750332,delivered
436,436,2024-08-25,,UPS,TRK38604413,delivered
437,437,2024-02-11,2024-02-14,DHL,TRK27753107,delivered
438,438,2024-06-10,,USPS,TRK98706277,delivered
439,439,,,DHL,TRK84691013,cancelled
440,440,2024-03-18,2024-03-24,Aramex,TRK96401089,delivered
441,441,2024-05-05,2024-05-12,DHL,TRK81907386,delivered
442,442,2024-02-29,2024-03-07,DHL,TRK20787536,delivered
443,443,2025-06-15,2025-06-18,Aramex,TRK91364176,pending
