shipping_sk,shipping_id,carrier,tracking_number,shipping_status,entry_date_key
159,159,UPS,TRK78117096,delivered,20250923
160,160,DHL,TRK38794749,shipped,20250923
161,161,UPS,TRK36912273,shipped,20250923
162,162,Aramex,TRK40252332,delivered,20250923
163,163,DHL,TRK58654035,delivered,20250923
164,164,DHL,TRK95766620,delivered,20250923
165,165,DHL,TRK60713642,delivered,20250923
166,166,Aramex,TRK78073251,delivered,20250923
167,167,DHL,TRK74105704,delivered,20250923
168,168,FedEx,TRK39712652,delivered,20250923
169,169,DHL,TRK68182605,delivered,20250923
170,170,Aramex,TRK02729782,delivered,20250923
171,171,FedEx,TRK49423814,delivered,20250923
172,172,DHL,TRK44370847,delivered,20250923
173,173,USPS,TRK57726221,delivered,20250923
174,174,USPS,TRK23956530,delivered,20250923
175,175,UPS,TRK42597427,pending,20250923
176,176,USPS,TRK10732006,delivered,20250923
177,177,DHL,TRK93651436,delivered,20250923
178,178,UPS,TRK46574663,cancelled,20250923
179,179,Aramex,TRK52749143,delivered,20250923
180,180,FedEx,TRK34759490,delivered,20250923
181,181,Aramex,TRK22241687,cancelled,20250923
182,182,FedEx,TRK91525342,delivered,20250923
183,183,UPS,TRK31183100,shipped,20250923
184,184,FedEx,TRK12032263,delivered,20250923
185,185,DHL,TRK38949778,delivered,20250923
186,186,DHL,TRK91436629,shipped,20250923
187,187,Aramex,TRK26006588,shipped,20250923
188,188,Aramex,TRK52527632,delivered,20250923
189,189,UPS,TRK41283973,delivered,20250923
190,190,FedEx,TRK65577853,delivered,20250923
191,191,UPS,TRK58835056,delivered,20250923
192,192,FedEx,TRK42602530,cancelled,20250923
193,193,DHL,TRK07254726,delivered,20250923
194,194,UPS,TRK92451359,delivered,20250923
195,195,USPS,TRK07570502,delivered,20250923
196,196,Aramex,TRK54317569,shipped,20250923
197,197,Aramex,TRK48981676,delivered,20250923
198,198,UPS,TRK58442005,delivered,20250923
199,199,UPS,TRK27876586,delivered,20250923
200,200,FedEx,TRK73860268,delivered,20250923
201,201,FedEx,TRK12505834,delivered,20250923
202,202,FedEx,TRK16439777,shipped,20250923
203,203,Aramex,TRK10506941,delivered,20250923
204,204,DHL,TRK04903997,delivered,20250923
205,205,USPS,TRK82512552,shipped,20250923
206,206,Aramex,TRK08151619,cancelled,20250923
207,207,UPS,TRK53857275,pending,20250923
208,208,FedEx,TRK15707510,delivered,20250923
209,209,USPS,TRK62689820,delivered,20250923
210,210,UPS,TRK68037661,delivered,20250923
211,211,UPS,TRK80174883,delivered,20250923
212,212,USPS,TRK21301336,delivered,20250923
213,213,USPS,TRK93401576,delivered,20250923
214,214,Aramex,TRK78902926,shipped,20250923
215,215,USPS,TRK30630262,delivered,20250923
216,216,USPS,TRK81521152,delivered,20250923
217,217,UPS,TRK40255448,shipped,20250923
218,218,DHL,TRK50545739,delivered,20250923
219,219,Aramex,TRK41620888,delivered,20250923
220,220,UPS,TRK25513334,delivered,20250923
221,221,FedEx,TRK32827442,delivered,20250923
222,222,Aramex,TRK52899109,shipped,20250923
223,223,USPS,TRK28291736,shipped,20250923
224,224,DHL,TRK04029536,delivered,20250923
225,225,FedEx,TRK42418290,delivered,20250923
226,226,FedEx,TRK51770731,delivered,20250923
227,227,FedEx,TRK52786321,delivered,20250923
228,228,Aramex,TRK59782847,pending,20250923
229,229,Aramex,TRK86089617,pending,20250923
230,230,UPS,TRK98869836,shipped,20250923
231,231,USPS,TRK72212211,cancelled,20250923
232,232,Aramex,TRK14349404,delivered,20250923
233,233,Aramex,TRK29885856,delivered,20250923
234,234,DHL,TRK20226348,delivered,20250923
235,235,USPS,TRK67089804,delivered,20250923
236,236,Aramex,TRK31212599,shipped,20250923
237,237,USPS,TRK27241785,delivered,20250923
238,238,USPS,TRK46122161,delivered,20250923
239,239,FedEx,TRK43153333,delivered,20250923
240,240,FedEx,TRK99961558,cancelled,20250923
241,241,DHL,TRK05924390,delivered,20250923
242,242,FedEx,TRK81556864,delivered,20250923
243,243,FedEx,TRK49370878,delivered,20250923
244,244,DHL,TRK61936726,delivered,20250923
245,245,UPS,TRK49867989,delivered,20250923
246,246,Aramex,TRK16549508,delivered,20250923
247,247,DHL,TRK74791097,shipped,20250923
248,248,UPS,TRK71863473,delivered,20250923
249,249,FedEx,TRK86922577,pending,20250923
250,250,UPS,TRK89999595,delivered,20250923
3001,3001,FedEx,TRK75344509,delivered,20250928
3002,3002,Aramex,TRK06771971,delivered,20250928
3003,3003,USPS,TRK65420501,shipped,20250928
3004,3004,USPS,TRK71591524,delivered,20250928
3005,3005,DHL,TRK58916889,delivered,20250928
3006,3006,UPS,TRK15569096,delivered,20250928
3007,3007,Aramex,TRK41201555,delivered,20250928
3008,3008,USPS,TRK13621728,delivered,20250928
3009,3009,Aramex,TRK57673402,delivered,20250928
3010,3010,FedEx,TRK35905020,shipped,20250928
3011,3011,DHL,TRK91921378,pending,20250928
3012,3012,USPS,TRK10636631,shipped,20250928
3013,3013,Aramex,TRK19965255,delivered,20250928
3014,3014,Aramex,TRK42958077,delivered,20250928
3015,3015,DHL,TRK99502340,delivered,20250928
3016,3016,Aramex,TRK48843139,delivered,20250928
3017,3017,USPS,TRK96169245,delivered,20250928
3018,3018,USPS,TRK54334875,delivered,20250928
3019,3019,DHL,TRK47379354,delivered,20250928
3020,3020,Aramex,TRK05482967,delivered,20250928
3021,3021,Aramex,TRK90259671,delivered,20250928
3022,3022,Aramex,TRK63420093,delivered,20250928
251,251,FedEx,TRK11583321,delivered,20250927
252,252,DHL,TRK46415025,delivered,20250927
253,253,FedEx,TRK67458331,delivered,20250927
254,254,FedEx,TRK23259013,delivered,20250927
255,255,USPS,TRK22095400,delivered,20250927
256,256,FedEx,TRK58747330,delivered,20250927
257,257,Aramex,TRK76813442,delivered,20250927
258,258,FedEx,TRK26670424,cancelled,20250927
259,259,UPS,TRK76429206,delivered,20250927
260,260,Aramex,TRK57109214,delivered,20250927
261,261,USPS,TRK29531466,shipped,20250927
262,262,USPS,TRK23997534,delivered,20250927
263,263,USPS,TRK27857607,shipped,20250927
264,264,UPS,TRK74295443,delivered,20250927
265,265,FedEx,TRK51312459,delivered,20250927
266,266,USPS,TRK13407717,delivered,20250927
267,267,FedEx,TRK33895176,delivered,20250927
268,268,USPS,TRK64894850,cancelled,20250927
269,269,FedEx,TRK71640902,delivered,20250927
270,270,FedEx,TRK03637927,shipped,20250927
271,271,FedEx,TRK74138563,shipped,20250927
272,272,DHL,TRK09437086,delivered,20250927
273,273,DHL,TRK18067949,delivered,20250927
274,274,USPS,TRK10717683,delivered,20250927
275,275,USPS,TRK47510393,delivered,20250927
276,276,Aramex,TRK54837489,delivered,20250927
277,277,DHL,TRK86835195,delivered,20250927
278,278,DHL,TRK74001387,delivered,20250927
279,279,UPS,TRK57948728,delivered,20250927
280,280,USPS,TRK77357054,delivered,20250927
281,281,Aramex,TRK92573511,delivered,20250927
282,282,Aramex,TRK12509946,shipped,20250927
283,283,USPS,TRK23011930,delivered,20250927
284,284,DHL,TRK03860869,cancelled,20250927
285,285,UPS,TRK92670562,shipped,20250927
286,286,UPS,TRK77306852,delivered,20250927
287,287,Aramex,TRK31599600,delivered,20250927
288,288,UPS,TRK90696991,cancelled,20250927
289,289,USPS,TRK52939123,delivered,20250927
290,290,USPS,TRK79995294,delivered,20250927
291,291,DHL,TRK97153773,shipped,20250927
292,292,USPS,TRK94379727,delivered,20250927
293,293,DHL,TRK53185975,cancelled,20250927
294,294,UPS,TRK65567552,delivered,20250927
295,295,DHL,TRK26475747,delivered,20250927
296,296,FedEx,TRK77965822,delivered,20250927
297,297,USPS,TRK35556175,delivered,20250927
298,298,FedEx,TRK14095494,delivered,20250927
299,299,FedEx,TRK18305968,delivered,20250927
300,300,Aramex,TRK11637698,cancelled,20250927
301,301,Aramex,TRK34386724,delivered,20250927
302,302,USPS,TRK89738259,delivered,20250927
303,303,Aramex,TRK23872672,pending,20250927
304,304,FedEx,TRK03301009,delivered,20250927
305,305,USPS,TRK73552047,shipped,20250927
306,306,USPS,TRK84573113,delivered,20250927
307,307,FedEx,TRK63644013,delivered,20250927
308,308,Aramex,TRK72201981,delivered,20250927
309,309,UPS,TRK87126429,shipped,20250927
310,310,Aramex,TRK16827981,delivered,20250927
311,311,Aramex,TRK50981983,delivered,20250927
312,312,DHL,TRK17336791,delivered,20250927
313,313,DHL,TRK72959640,delivered,20250927
314,314,UPS,TRK61260066,delivered,20250927
315,315,DHL,TRK21663569,delivered,20250927
316,316,Aramex,TRK39657536,delivered,20250927
317,317,Aramex,TRK58042715,shipped,20250927
318,318,USPS,TRK99319722,delivered,20250927
319,319,Aramex,TRK30919026,delivered,20250927
320,320,USPS,TRK80022545,delivered,20250927
321,321,FedEx,TRK92375065,delivered,20250927
322,322,UPS,TRK40450066,delivered,20250927
323,323,FedEx,TRK40207681,shipped,20250927
324,324,Aramex,TRK08935303,delivered,20250927
325,325,Aramex,TRK50493158,delivered,20250927
326,326,FedEx,TRK45571724,delivered,20250927
327,327,Aramex,TRK72163685,delivered,20250927
328,328,Aramex,TRK85334339,delivered,20250927
329,329,UPS,TRK07368347,delivered,20250927
330,330,UPS,TRK59548589,shipped,20250927
331,331,FedEx,TRK59891804,delivered,20250927
332,332,FedEx,TRK91320246,delivered,20250927
333,333,FedEx,TRK44446303,delivered,20250927
334,334,FedEx,TRK67523922,delivered,20250927
335,335,Aramex,TRK01152319,delivered,20250927
336,336,USPS,TRK23192251,delivered,20250927
337,337,DHL,TRK78242142,pending,20250927
338,338,FedEx,TRK91732258,cancelled,20250927
339,339,USPS,TRK34869409,delivered,20250927
340,340,DHL,TRK58595766,delivered,20250927
341,341,Aramex,TRK26932636,pending,20250927
342,342,DHL,TRK07992055,delivered,20250927
343,343,UPS,TRK41217093,delivered,20250927
344,344,Aramex,TRK93419471,shipped,20250927
345,345,UPS,TRK29353471,delivered,20250927
346,346,Aramex,TRK40722819,shipped,20250927
347,347,UPS,TRK30747500,shipped,20250927
348,348,FedEx,TRK99567720,delivered,20250927
349,349,FedEx,TRK79205328,shipped,20250927
350,350,DHL,TRK93283402,delivered,20250927
351,351,DHL,TRK18383098,shipped,20250927
352,352,Aramex,TRK81290082,delivered,20250927
353,353,UPS,TRK75551007,shipped,20250927
354,354,Aramex,TRK42726225,shipped,20250927
355,355,UPS,TRK08384940,delivered,20250927
356,356,FedEx,TRK38518497,delivered,20250927
357,357,FedEx,TRK12844055,delivered,20250927
358,358,UPS,TRK79450415,shipped,20250927
359,359,DHL,TRK46338842,delivered,20250927
360,360,Aramex,TRK79139326,delivered,20250927
361,361,USPS,TRK07859104,delivered,20250927
362,362,FedEx,TRK29928199,delivered,20250927
363,363,USPS,TRK24784972,delivered,20250927
364,364,DHL,TRK93822128,delivered,20250927
365,365,USPS,TRK63845192,pending,20250927
366,366,DHL,TRK33423695,delivered,20250927
367,367,FedEx,TRK83496401,delivered,20250927
368,368,UPS,TRK05808039,delivered,20250927
369,369,DHL,TRK70154498,delivered,20250927
370,370,DHL,TRK74047630,pending,20250927
371,371,FedEx,TRK52990185,delivered,20250927
372,372,USPS,TRK51508625,delivered,20250927
373,373,DHL,TRK86441580,delivered,20250927
374,374,UPS,TRK24823011,delivered,20250927
375,375,UPS,TRK72848643,delivered,20250927
376,376,Aramex,TRK99706488,delivered,20250927
377,377,Aramex,TRK47592719,delivered,20250927
378,378,DHL,TRK07095318,pending,20250927
379,379,FedEx,TRK57921669,delivered,20250927
380,380,UPS,TRK79677160,delivered,20250927
381,381,UPS,TRK76894191,delivered,20250927
382,382,UPS,TRK42973170,delivered,20250927
383,383,USPS,TRK36392406,delivered,20250927
384,384,Aramex,TRK15153137,delivered,20250927
385,385,DHL,TRK04961029,pending,20250927
386,386,FedEx,TRK40436872,delivered,20250927
387,387,USPS,TRK01267957,delivered,20250927
388,388,FedEx,TRK99836724,delivered,20250927
389,389,Aramex,TRK41240654,delivered,20250927
390,390,Aramex,TRK33080644,delivered,20250927
391,391,Aramex,TRK76354022,delivered,20250927
392,392,Aramex,TRK90353850,delivered,20250927
393,393,Aramex,TRK73149828,shipped,20250927
394,394,USPS,TRK05643488,delivered,20250927
395,395,UPS,TRK52785817,shipped,20250927
396,396,FedEx,TRK21338223,delivered,20250927
397,397,UPS,TRK65751260,delivered,20250927
398,398,USPS,TRK30238837,delivered,20250927
399,399,FedEx,TRK28577189,delivered,20250927
400,400,UPS,TRK40777380,delivered,20250927
401,401,UPS,TRK99471698,delivered,20250927
402,402,USPS,TRK27395702,delivered,20250927
403,403,FedEx,TRK16217447,delivered,20250927
404,404,Aramex,TRK78715055,cancelled,20250927
405,405,Aramex,TRK18604524,cancelled,20250927
406,406,FedEx,TRK03011804,delivered,20250927
407,407,FedEx,TRK00147004,delivered,20250927
408,408,UPS,TRK26824729,shipped,20250927
409,409,UPS,TRK00693474,delivered,20250927
410,410,UPS,TRK84931047,delivered,20250927
411,411,UPS,TRK51696714,delivered,20250927
412,412,UPS,TRK68943814,delivered,20250927
413,413,Aramex,TRK04229922,delivered,20250927
414,414,UPS,TRK49316256,delivered,20250927
415,415,USPS,TRK98663571,shipped,20250927
416,416,UPS,TRK92683708,delivered,20250927
417,417,FedEx,TRK57873721,pending,20250927
418,418,Aramex,TRK98753291,cancelled,20250927
419,419,USPS,TRK55239318,delivered,20250927
420,420,Aramex,TRK54274254,delivered,20250927
421,421,USPS,TRK72186328,shipped,20250927
422,422,FedEx,TRK39968475,delivered,20250927
423,423,FedEx,TRK52971616,delivered,20250927
424,424,FedEx,TRK86895909,cancelled,20250927
425,425,UPS,TRK58914375,delivered,20250927
426,426,USPS,TRK02398677,shipped,20250927
427,427,FedEx,TRK40886682,shipped,20250927
428,428,Aramex,TRK88914070,cancelled,20250927
429,429,Aramex,TRK46708644,cancelled,20250927
430,430,Aramex,TRK53958034,pending,20250927
431,431,Aramex,TRK36609482,shipped,20250927
432,432,Aramex,TRK06414206,delivered,20250927
433,433,DHL,TRK26903722,delivered,20250927
434,434,DHL,TRK01581610,delivered,20250927
435,435,UPS,TRK35750332,delivered,20250927
436,436,UPS,TRK38604413,delivered,20250927
437,437,DHL,TRK27753107,delivered,20250927
438,438,USPS,TRK98706277,delivered,20250927
439,439,DHL,TRK84691013,cancelled,20250927
440,440,Aramex,TRK96401089,delivered,20250927
441,441,DHL,TRK81907386,delivered,20250927
442,442,DHL,TRK20787536,delivered,20250927
443,443,Aramex,TRK91364176,pending,20250927
444,444,DHL,TRK07747717,delivered,20250927
445,445,UPS,TRK59011913,delivered,20250927
446,446,DHL,TRK58788866,delivered,20250927
447,447,FedEx,TRK78767232,pending,20250927
448,448,USPS,TRK33938784,shipped,20250927
449,449,USPS,TRK00306776,shipped,20250927
450,450,Aramex,TRK14030572,delivered,20250927
451,451,USPS,TRK59625079,delivered,20250927
452,452,UPS,TRK13944431,shipped,20250927
453,453,UPS,TRK14826513,delivered,20250927
454,454,Aramex,TRK42791052,delivered,20250927
455,455,FedEx,TRK90911419,delivered,20250927
456,456,FedEx,TRK67983744,delivered,20250927
457,457,DHL,TRK14322821,delivered,20250927
458,458,DHL,TRK49579193,delivered,20250927
459,459,UPS,TRK20806595,shipped,20250927
460,460,DHL,TRK64553115,delivered,20250927
461,461,UPS,TRK46556662,delivered,20250927
462,462,DHL,TRK29007779,delivered,20250927
463,463,USPS,TRK63967163,shipped,20250927
464,464,UPS,TRK86546137,delivered,20250927
465,465,Aramex,TRK31970452,shipped,20250927
466,466,USPS,TRK49669574,delivered,20250927
467,467,Aramex,TRK85499571,delivered,20250927
468,468,FedEx,TRK05370767,delivered,20250927
469,469,Aramex,TRK32748263,delivered,20250927
470,470,UPS,TRK87729154,shipped,20250927
471,471,UPS,TRK05774111,delivered,20250927
472,472,UPS,TRK50529868,shipped,20250927
473,473,DHL,TRK20710310,delivered,20250927
474,474,UPS,TRK91605059,delivered,20250927
475,475,Aramex,TRK34168163,delivered,20250927
476,476,FedEx,TRK74213021,delivered,20250927
477,477,UPS,TRK62537032,delivered,20250927
478,478,FedEx,TRK64039448,delivered,20250927
479,479,UPS,TRK14668651,delivered,20250927
480,480,USPS,TRK27528880,delivered,20250927
481,481,Aramex,TRK46628418,delivered,20250927
482,482,USPS,TRK02781048,delivered,20250927
483,483,UPS,TRK48892129,delivered,20250927
484,484,DHL,TRK93543881,shipped,20250927
485,485,Aramex,TRK28193343,delivered,20250927
486,486,FedEx,TRK44566662,delivered,20250927
487,487,FedEx,TRK13528684,delivered,20250927
488,488,USPS,TRK45342193,delivered,20250927
489,489,UPS,TRK70498232,delivered,20250927
490,490,USPS,TRK79973176,delivered,20250927
491,491,Aramex,TRK47434714,shipped,20250927
492,492,FedEx,TRK12567684,delivered,20250927
493,493,FedEx,TRK46383635,delivered,20250927
494,494,DHL,TRK68577217,delivered,20250927
495,495,USPS,TRK67865770,delivered,20250927
496,496,UPS,TRK32898725,delivered,20250927
497,497,UPS,TRK79194749,delivered,20250927
498,498,DHL,TRK47850156,delivered,20250927
499,499,UPS,TRK12631520,shipped,20250927
500,500,UPS,TRK89585717,delivered,20250927
501,501,DHL,TRK77488528,delivered,20250927
502,502,FedEx,TRK68366784,delivered,20250927
503,503,FedEx,TRK55103468,delivered,20250927
504,504,USPS,TRK56651074,delivered,20250927
505,505,USPS,TRK18511478,delivered,20250927
506,506,DHL,TRK02693606,cancelled,20250927
507,507,FedEx,TRK20162079,delivered,20250927
508,508,UPS,TRK68351148,shipped,20250927
509,509,DHL,TRK82246294,delivered,20250927
510,510,USPS,TRK67081672,delivered,20250927
511,511,DHL,TRK10487741,delivered,20250927
512,512,Aramex,TRK85400713,delivered,20250927
513,513,USPS,TRK91001580,delivered,20250927
514,514,FedEx,TRK56550552,shipped,20250927
515,515,UPS,TRK15028709,delivered,20250927
516,516,Aramex,TRK84445280,delivered,20250927
517,517,DHL,TRK43589967,delivered,20250927
518,518,UPS,TRK53859253,delivered,20250927
519,519,Aramex,TRK70395738,delivered,20250927
520,520,Aramex,TRK24241539,delivered,20250927
521,521,UPS,TRK34890984,shipped,20250927
522,522,USPS,TRK12142308,shipped,20250927
523,523,FedEx,TRK70368038,shipped,20250927
524,524,DHL,TRK78416321,shipped,20250927
525,525,DHL,TRK30216577,delivered,20250927
526,526,USPS,TRK16581960,delivered,20250927
527,527,USPS,TRK93881520,delivered,20250927
528,528,FedEx,TRK42034223,delivered,20250927
529,529,Aramex,TRK94482774,shipped,20250927
530,530,FedEx,TRK14821348,delivered,20250927
531,531,DHL,TRK92440648,delivered,20250927
532,532,Aramex,TRK80681311,shipped,20250927
533,533,Aramex,TRK16621054,pending,20250927
534,534,FedEx,TRK17986616,delivered,20250927
535,535,USPS,TRK29174748,shipped,20250927
536,536,USPS,TRK67310638,shipped,20250927
537,537,FedEx,TRK58839703,delivered,20250927
538,538,UPS,TRK13654211,cancelled,20250927
539,539,FedEx,TRK67206303,delivered,20250927
540,540,UPS,TRK50953020,delivered,20250927
541,541,DHL,TRK35665563,cancelled,20250927
542,542,FedEx,TRK24560285,delivered,20250927
543,543,Aramex,TRK13572536,delivered,20250927
544,544,FedEx,TRK00193413,delivered,20250927
545,545,UPS,TRK98615065,delivered,20250927
546,546,UPS,TRK56608151,delivered,20250927
547,547,DHL,TRK74333841,delivered,20250927
548,548,DHL,TRK11631019,delivered,20250927
549,549,UPS,TRK89394039,delivered,20250927
550,550,FedEx,TRK03118757,shipped,20250927
551,551,UPS,TRK14765734,delivered,20250927
552,552,Aramex,TRK77391699,delivered,20250927
553,553,FedEx,TRK13274715,delivered,20250927
554,554,USPS,TRK68849101,delivered,20250927
555,555,FedEx,TRK69247901,delivered,20250927
556,556,USPS,TRK87093079,shipped,20250927
557,557,UPS,TRK39266742,delivered,20250927
558,558,FedEx,TRK08056744,delivered,20250927
559,559,FedEx,TRK63347254,delivered,20250927
560,560,DHL,TRK58153461,shipped,20250927
561,561,Aramex,TRK41684218,delivered,20250927
562,562,FedEx,TRK89522982,delivered,20250927
563,563,UPS,TRK59587404,delivered,20250927
564,564,UPS,TRK05803946,delivered,20250927
565,565,DHL,TRK64557495,delivered,20250927
566,566,FedEx,TRK03817997,delivered,20250927
567,567,DHL,TRK30504131,delivered,20250927
568,568,FedEx,TRK24629988,pending,20250927
569,569,DHL,TRK00478974,shipped,20250927
570,570,UPS,TRK96771959,delivered,20250927
