product_sk,product_id,product_name,description,category_id,category_name,brand,price,price_start_date_key,price_end_date_key,price_is_active,stock_quantity,product_date_key,entry_date_key
33,33,Nestle Enjoy,Government nice themselves wind see.,9,Groceries,Nestle,16.989999771118164,2025-09-24,,1,488,20250904,20250924
34,34,GSK Wonder,Ten wish specific thing agent say forward.,10,Health,GSK,180.88999938964844,2025-09-24,,1,250,20250907,20250924
35,35,Bosch Its Max,Environment skin blue the teach develop staff.,11,Automotive,Bosch,704.1900024414062,2025-09-24,,1,425,20240907,20250924
36,36,Staedtler Hard Plus,Star the development process huge everything attorney.,12,Stationery,Staedtler,70.36000061035156,2025-09-24,,1,484,20250508,20250924
37,37,Apple Family Lite,Political hundred wonder movie voice boy wife condition.,1,Electronics,Apple,2058.4599609375,2025-09-24,,1,500,20240409,20250924
38,38,Uniqlo American,Others generation skill job worker.,2,Fashion,Uniqlo,60.06999969482422,2025-09-24,,1,243,20231214,20250924
39,39,HarperCollins Image Lite,Couple and job mind southern rather vote say culture issue.,3,Books,HarperCollins,58.040000915527344,2025-09-24,,1,475,20250212,20250924
40,40,Nivea Wife,Perhaps professional by tonight medical project for recent.,4,Beauty,Nivea,81.5999984741211,2025-09-24,,1,343,20241119,20250924
41,41,Reebok Care,Inside wait quality total past feeling.,5,Sports,Reebok,263.6099853515625,2025-09-24,,1,61,20241114,20250924
42,42,IKEA These Max,Fight decision size parent.,6,Furniture,IKEA,61.650001525878906,2025-09-24,,1,283,20240523,20250924
43,43,Bosch Make,Kind degree list top somebody college be middle plan.,7,Home Appliances,Bosch,30.639999389648438,2025-09-24,,1,362,20240602,20250924
44,44,Hasbro Better Pro,Pull different current agency each little sure.,8,Toys,Hasbro,181.55999755859375,2025-09-24,,1,440,20231111,20250924
45,45,Kellogg's Lose Plus,Though offer responsibility himself hundred challenge reach throughout team.,9,Groceries,Kellogg's,28.56999969482422,2025-09-24,,1,248,20250803,20250924
46,46,Johnson & Johnson Both,Despite sound receive let newspaper true building card let.,10,Health,Johnson & Johnson,217.83999633789062,2025-09-24,,1,451,20241101,20250924
47,47,Bridgestone Operation,Fish sense kind spring throughout interview trade knowledge city technology.,11,Automotive,Bridgestone,201.97000122070312,2025-09-24,,1,242,20240830,20250924
48,48,Staedtler Event Pro,Style everyone sing machine dream key require.,12,Stationery,Staedtler,53.060001373291016,2025-09-24,,1,181,20240316,20250924
49,49,LG Expert,Floor music catch discuss really relationship ask imagine.,1,Electronics,LG,2173.2099609375,2025-09-24,,1,27,20241110,20250924
50,50,Puma Man,Artist strategy hope show watch affect thing offer local.,2,Fashion,Puma,262.010009765625,2025-09-24,,1,31,20240615,20250924
51,51,Macmillan Fire,Table well industry section national owner determine detail.,3,Books,Macmillan,49.029998779296875,2025-09-24,,1,55,20240819,20250924
52,52,Nivea Mention Lite,Home protect something right subject.,4,Beauty,Nivea,30.6200008392334,2025-09-24,,1,93,20250830,20250924
53,53,Reebok Care,Move trade option production base investment term consider employee force lawyer.,5,Sports,Reebok,438.5,2025-09-24,,1,38,20240604,20250924
54,54,Wayfair Sort,Everything week instead strong like see appear weight.,6,Furniture,Wayfair,1714.81005859375,2025-09-24,,1,50,20240308,20250924
55,55,Philips Rate,Sit prepare senior wear current.,7,Home Appliances,Philips,820.0700073242188,2025-09-24,,1,7,20231001,20250924
56,56,LEGO Pretty,Draw list boy way let eight.,8,Toys,LEGO,170.5,2025-09-24,,1,85,20240628,20250924
57,57,Kellogg's Computer,Parent security boy standard who blue agent find quality when.,9,Groceries,Kellogg's,22.15999984741211,2025-09-24,,1,205,20240720,20250924
58,58,Johnson & Johnson Year Pro,Away real physical big significant sure.,10,Health,Johnson & Johnson,295.6400146484375,2025-09-24,,1,135,20241225,20250924
59,59,Continental Support Lite,Someone not American mouth product attention.,11,Automotive,Continental,132.2899932861328,2025-09-24,,1,151,20250130,20250924
60,60,Moleskine Growth,Support state black whether.,12,Stationery,Moleskine,46.7599983215332,2025-09-24,,1,277,20250121,20250924
61,61,Apple Vote,Religious itself safe whole establish space Mrs low itself.,1,Electronics,Apple,237.1999969482422,2025-09-24,,1,299,20250405,20250924
62,62,H&M Person,Focus early various everything late seek now.,2,Fashion,H&M,342.55999755859375,2025-09-24,,1,80,20250215,20250924
63,63,Penguin Hundred,Agreement surface consider deep something future they red.,3,Books,Penguin,9.40999984741211,2025-09-24,,1,95,20240417,20250924
64,64,L'Oreal Only,Might course drop image.,4,Beauty,L'Oreal,136.02000427246094,2025-09-24,,1,120,20241120,20250924
65,65,Asics Son Plus,Real position make society behavior develop reality.,5,Sports,Asics,293.6700134277344,2025-09-24,,1,20,20240510,20250924
66,66,Ashley Record Max,Hard network gas you nearly goal law fill discover return.,6,Furniture,Ashley,1870.719970703125,2025-09-24,,1,104,20240518,20250924
67,67,Panasonic Call Lite,Week real course school everybody operation set others wonder strategy.,7,Home Appliances,Panasonic,213.6999969482422,2025-09-24,,1,330,20240503,20250924
68,68,Mattel Dream,Conference add move ever window network recently call.,8,Toys,Mattel,186.16000366210938,2025-09-24,,1,479,20250721,20250924
69,69,Nestle Soldier Pro,Bill activity expect long future whole education technology box.,9,Groceries,Nestle,8.25,2025-09-24,,1,109,20231105,20250924
70,70,GSK Institution Max,Available picture approach chance none fight yes budget share.,10,Health,GSK,264.6199951171875,2025-09-24,,1,450,20241229,20250924
71,71,Bosch Pick,Difficult mission late kind team wrong figure perform participant science way.,11,Automotive,Bosch,134.6199951171875,2025-09-24,,1,426,20240224,20250924
72,72,Faber-Castell Process,Enough ball dream necessary choose impact.,12,Stationery,Faber-Castell,49.31999969482422,2025-09-24,,1,413,20250304,20250924
73,73,OnePlus Phone,Fact discuss religious reflect law reach under skin person.,1,Electronics,OnePlus,1702.8699951171875,2025-09-24,,1,283,20250210,20250924
74,74,Zara Summer,Interesting name positive training step author.,2,Fashion,Zara,50.400001525878906,2025-09-24,,1,449,20240122,20250924
75,75,HarperCollins Structure Pro,Organization station TV keep light fight I.,3,Books,HarperCollins,45.83000183105469,2025-09-24,,1,79,20240414,20250924
76,76,Maybelline Month Plus,Management ball always it focus economy before while structure offer.,4,Beauty,Maybelline,144.3699951171875,2025-09-24,,1,104,20231002,20250924
77,77,Reebok Southern,Office several compare million kind everything young.,5,Sports,Reebok,133.0500030517578,2025-09-24,,1,464,20240819,20250924
78,78,IKEA Prove Lite,Why like impact fly bit claim in many production.,6,Furniture,IKEA,1662.1099853515625,2025-09-24,,1,22,20240723,20250924
79,79,Philips Teach,Already because education break significant ten stay ability thank left.,7,Home Appliances,Philips,213.61000061035156,2025-09-24,,1,134,20231028,20250924
80,80,LEGO Cup,Gun series personal service data near until just recognize building.,8,Toys,LEGO,112.58000183105469,2025-09-24,,1,218,20250117,20250924
81,81,PepsiCo Politics Pro,Report financial add impact different success box.,9,Groceries,PepsiCo,94.55999755859375,2025-09-24,,1,353,20231216,20250924
82,82,Johnson & Johnson Raise,Marriage respond meeting event strong woman.,10,Health,Johnson & Johnson,250.8699951171875,2025-09-24,,1,298,20240323,20250924
83,83,Bridgestone Loss Plus,Certain course out second carry attorney significant take future skin.,11,Automotive,Bridgestone,43.040000915527344,2025-09-24,,1,186,20240410,20250924
84,84,Moleskine Tend,Executive fear only your.,12,Stationery,Moleskine,17.600000381469727,2025-09-24,,1,127,20240930,20250924
85,85,OnePlus Tree Lite,Land machine forward several help usually.,1,Electronics,OnePlus,2437.2099609375,2025-09-24,,1,383,20250722,20250924
86,86,Adidas Current,Occur do simply analysis seat relate specific.,2,Fashion,Adidas,102.33000183105469,2025-09-24,,1,83,20240711,20250924
87,87,HarperCollins Record,Manager already maybe opportunity thank them.,3,Books,HarperCollins,6.360000133514404,2025-09-24,,1,377,20240822,20250924
88,88,Maybelline Black,Treat address century that wide avoid sit enter perhaps however.,4,Beauty,Maybelline,84.11000061035156,2025-09-24,,1,342,20231117,20250924
89,89,Under Armour Together Pro,System teacher here first responsibility service their along.,5,Sports,Under Armour,197.4499969482422,2025-09-24,,1,19,20231108,20250924
90,90,Wayfair Easy Lite,Range explain dinner bed within set region beyond coach federal ahead.,6,Furniture,Wayfair,712.3200073242188,2025-09-24,,1,420,20240524,20250924
91,91,Bosch Style Plus,Fall hear certainly most not.,7,Home Appliances,Bosch,609.72998046875,2025-09-24,,1,142,20250523,20250924
92,92,LEGO Couple,Company participant him raise marriage on.,8,Toys,LEGO,59.43000030517578,2025-09-24,,1,328,20240314,20250924
93,93,PepsiCo Main,Least project together let explain national available.,9,Groceries,PepsiCo,98.12999725341797,2025-09-24,,1,274,20240610,20250924
94,94,Pfizer People,Police interesting economic suddenly current his low.,10,Health,Pfizer,37.2599983215332,2025-09-24,,1,496,20240318,20250924
95,95,Continental I Max,Grow fast recognize against stop how account ten sing wind.,11,Automotive,Continental,40.220001220703125,2025-09-24,,1,305,20250823,20250924
96,96,Staedtler Police,Strategy total simply discover soon despite couple economy sense.,12,Stationery,Staedtler,63.130001068115234,2025-09-24,,1,223,20250504,20250924
97,97,Xiaomi Receive,Pick tough position final kid often.,1,Electronics,Xiaomi,377.54998779296875,2025-09-24,,1,460,20250406,20250924
98,98,Uniqlo Catch Pro,Travel force indeed customer skill.,2,Fashion,Uniqlo,286.42999267578125,2025-09-24,,1,0,20250727,20250924
99,99,HarperCollins History,Maybe evening clearly trial want whose far that sound life.,3,Books,HarperCollins,8.850000381469727,2025-09-24,,1,340,20231113,20250924
100,100,Maybelline Chance,Team right woman whose source hand so.,4,Beauty,Maybelline,133.69000244140625,2025-09-24,,1,63,20230926,20250924
101,101,Reebok Everything,Buy happy see energy herself police he push likely people.,5,Sports,Reebok,336.7799987792969,2025-09-24,,1,167,20241125,20250924
102,102,Wayfair Generation,Determine as statement travel few impact cause watch fight manage best.,6,Furniture,Wayfair,1117.739990234375,2025-09-24,,1,98,20250805,20250924
103,103,KitchenAid Note,Home he we recent music onto.,7,Home Appliances,KitchenAid,581.1400146484375,2025-09-24,,1,383,20250402,20250924
104,104,LEGO Clear,Pressure street past voice evidence real describe know door.,8,Toys,LEGO,63.689998626708984,2025-09-24,,1,280,20240623,20250924
105,105,Nestle Bit,Name within grow huge couple business summer lawyer.,9,Groceries,Nestle,21.809999465942383,2025-09-24,,1,402,20250211,20250924
106,106,GSK Difference,Wife anything four writer skin day stop never only spend.,10,Health,GSK,98.70999908447266,2025-09-24,,1,226,20240314,20250924
107,107,Continental Get,Small other everyone worker would music.,11,Automotive,Continental,413.8299865722656,2025-09-24,,1,406,20250528,20250924
108,108,Faber-Castell Contain Pro,Produce ago address so draw.,12,Stationery,Faber-Castell,23.420000076293945,2025-09-24,,1,339,20240524,20250924
109,109,OnePlus Admit,Enter camera inside box as large.,1,Electronics,OnePlus,324.1300048828125,2025-09-24,,1,487,20240623,20250924
110,110,Adidas Must,Board mean war analysis situation term miss leader who article.,2,Fashion,Adidas,97.61000061035156,2025-09-24,,1,101,20240922,20250924
111,111,HarperCollins Throw Plus,International blue Republican kitchen tonight focus chance call.,3,Books,HarperCollins,59.119998931884766,2025-09-24,,1,312,20250112,20250924
112,112,L'Oreal Property,Nature foot yes most law painting between reduce table prepare.,4,Beauty,L'Oreal,177.57000732421875,2025-09-24,,1,294,20250505,20250924
113,113,Under Armour Ok,Involve thousand including still human role.,5,Sports,Under Armour,198.14999389648438,2025-09-24,,1,204,20240515,20250924
114,114,IKEA Late Pro,Professor hear check type attack story behavior benefit.,6,Furniture,IKEA,1787.469970703125,2025-09-24,,1,440,20250411,20250924
115,115,Philips Hotel,News only no form business government.,7,Home Appliances,Philips,343.8800048828125,2025-09-24,,1,411,20250213,20250924
116,116,Hasbro Yeah,Test return why outside goal official defense prevent difference.,8,Toys,Hasbro,14.789999961853027,2025-09-24,,1,127,20231209,20250924
117,117,Nestle Hard,Happen several off southern suddenly window stand party poor ago.,9,Groceries,Nestle,80.33999633789062,2025-09-24,,1,341,20250906,20250924
118,118,GSK Really,Ahead event several TV go consider century.,10,Health,GSK,179.85000610351562,2025-09-24,,1,486,20250207,20250924
119,119,Continental Institution,Center plan air second Democrat.,11,Automotive,Continental,578.22998046875,2025-09-24,,1,258,20240807,20250924
120,120,Staedtler Long,Church find food walk other third choose senior.,12,Stationery,Staedtler,44.279998779296875,2025-09-24,,1,459,20231024,20250924
121,121,Samsung Represent,Evening product magazine kind event.,1,Electronics,Samsung,1239.219970703125,2025-09-24,,1,132,20250424,20250924
122,122,Adidas Music,Generation book question or money.,2,Fashion,Adidas,118.1500015258789,2025-09-24,,1,398,20240512,20250924
123,123,Macmillan Answer,House out account feeling deep case eight.,3,Books,Macmillan,20.100000381469727,2025-09-24,,1,39,20240527,20250924
124,124,Maybelline Call Max,Market issue can mouth.,4,Beauty,Maybelline,65.9800033569336,2025-09-24,,1,276,20240312,20250924
125,125,Puma Month Plus,Street south author technology amount affect TV television office of.,5,Sports,Puma,197.69000244140625,2025-09-24,,1,78,20250320,20250924
126,126,Ashley Push Lite,Face if whom commercial way least ready gun join.,6,Furniture,Ashley,827.0499877929688,2025-09-24,,1,277,20231207,20250924
127,127,KitchenAid Either,Open model how financial fund four collection member box.,7,Home Appliances,KitchenAid,326.1099853515625,2025-09-24,,1,215,20241016,20250924
128,128,Mattel Daughter,Go when population challenge bill eight community check.,8,Toys,Mattel,118.9000015258789,2025-09-24,,1,356,20250427,20250924
129,129,Nestle Reality,Concern significant management senior service.,9,Groceries,Nestle,76.79000091552734,2025-09-24,,1,194,20240829,20250924
130,130,Pfizer Responsibility Max,Poor worry follow wife firm key light place someone option.,10,Health,Pfizer,91.69000244140625,2025-09-24,,1,199,20240615,20250924
131,131,Continental Movement,Financial later arm story baby.,11,Automotive,Continental,590.3599853515625,2025-09-24,,1,409,20250718,20250924
132,132,Faber-Castell Top,Past medical leg never social.,12,Stationery,Faber-Castell,39.56999969482422,2025-09-24,,1,139,20250811,20250924
133,133,LG Analysis,Training occur could painting may whatever late specific study.,1,Electronics,LG,1033.260009765625,2025-09-24,,1,342,20250323,20250924
134,134,Puma Become,Position always remain yard model particular hair truth hold.,2,Fashion,Puma,292.42999267578125,2025-09-24,,1,430,20250509,20250924
135,135,Macmillan Ground,Appear piece free form newspaper hit edge surface who owner.,3,Books,Macmillan,58.939998626708984,2025-09-24,,1,273,20240110,20250924
136,136,L'Oreal Goal,Old center glass whose recognize.,4,Beauty,L'Oreal,119.5999984741211,2025-09-24,,1,339,20240716,20250924
137,137,Puma Carry Lite,Remember be next poor foreign campaign reflect water young treatment.,5,Sports,Puma,76.48999786376953,2025-09-24,,1,236,20231127,20250924
138,138,IKEA Race Lite,Meet adult final week game she court yourself choice.,6,Furniture,IKEA,668.1599731445312,2025-09-24,,1,232,20240502,20250924
139,139,Panasonic Three,Medical music school money product.,7,Home Appliances,Panasonic,1321.8699951171875,2025-09-24,,1,142,20250727,20250924
140,140,Mattel Space Pro,Capital heavy class story side speak close join improve put down.,8,Toys,Mattel,96.70999908447266,2025-09-24,,1,383,20240826,20250924
141,141,PepsiCo Popular Max,Sell six doctor dream whole six tough.,9,Groceries,PepsiCo,23.200000762939453,2025-09-24,,1,35,20240213,20250924
142,142,GSK Hold Pro,Worker left example high month whom stage soon catch economic.,10,Health,GSK,285.0299987792969,2025-09-24,,1,102,20250126,20250924
143,143,Bosch Medical,Never bill suffer surface expect several evening town.,11,Automotive,Bosch,198.4499969482422,2025-09-24,,1,242,20240108,20250924
144,144,Faber-Castell Then Plus,Begin treat stage this us increase how hear history.,12,Stationery,Faber-Castell,37.7400016784668,2025-09-24,,1,131,20231118,20250924
145,145,Sony House Pro,Agreement us stuff practice social case expert.,1,Electronics,Sony,1966.699951171875,2025-09-24,,1,83,20250621,20250924
146,146,Zara Marriage Pro,Serve light past town affect democratic.,2,Fashion,Zara,372.2699890136719,2025-09-24,,1,294,20240110,20250924
147,147,Macmillan Official,Month book explain feeling answer information soldier lead book toward.,3,Books,Macmillan,44.33000183105469,2025-09-24,,1,38,20241222,20250924
148,148,Nivea North Max,Place offer responsibility fact.,4,Beauty,Nivea,170.50999450683594,2025-09-24,,1,307,20230917,20250924
149,149,Puma Possible,Drive indicate professor beat window attack moment medical.,5,Sports,Puma,287.30999755859375,2025-09-24,,1,21,20241014,20250924
150,150,Wayfair Once,Hospital like player wonder.,6,Furniture,Wayfair,1329.81005859375,2025-09-24,,1,35,20240331,20250924
151,151,Panasonic Small Lite,Ground attack drop price.,7,Home Appliances,Panasonic,1237.050048828125,2025-09-24,,1,54,20231205,20250924
152,152,Mattel Sport,Same forward and national spend compare single let receive place.,8,Toys,Mattel,128.94000244140625,2025-09-24,,1,424,20250607,20250924
153,153,Kellogg's Central,Respond want already cut social.,9,Groceries,Kellogg's,44.11000061035156,2025-09-24,,1,375,20250804,20250924
154,154,GSK Analysis,Value middle writer myself education send course ground.,10,Health,GSK,83.20999908447266,2025-09-24,,1,413,20250514,20250924
155,155,Bridgestone Anyone,Event son join hundred keep what fund cost.,11,Automotive,Bridgestone,377.25,2025-09-24,,1,422,20250306,20250924
156,156,Faber-Castell Modern,Under mind song risk bad own state nation.,12,Stationery,Faber-Castell,26.459999084472656,2025-09-24,,1,125,20240522,20250924
157,157,Apple Board Lite,Foreign fast knowledge response coach.,1,Electronics,Apple,685.27001953125,2025-09-24,,1,237,20240825,20250924
158,158,Uniqlo Have,Amount thank good your ever woman way avoid point.,2,Fashion,Uniqlo,157.80999755859375,2025-09-24,,1,14,20240624,20250924
159,159,Macmillan Must,Well central parent sit alone attack.,3,Books,Macmillan,15.0,2025-09-24,,1,108,20250512,20250924
160,160,Maybelline Quite,Gun we allow check last he know baby.,4,Beauty,Maybelline,70.05000305175781,2025-09-24,,1,450,20231231,20250924
161,161,Reebok Next,Huge power economic box save material hit no.,5,Sports,Reebok,263.1499938964844,2025-09-24,,1,97,20240406,20250924
162,162,IKEA Stage Lite,Region Democrat partner really your customer career.,6,Furniture,IKEA,987.3800048828125,2025-09-24,,1,388,20231112,20250924
163,163,Bosch Live,Together knowledge because radio suffer floor.,7,Home Appliances,Bosch,975.9400024414062,2025-09-24,,1,251,20240611,20250924
164,164,Mattel Security,Nearly face feel church remember.,8,Toys,Mattel,23.149999618530273,2025-09-24,,1,113,20250312,20250924
165,165,Kellogg's Pull,Soldier meeting building cut catch so.,9,Groceries,Kellogg's,31.309999465942383,2025-09-24,,1,297,20231006,20250924
166,166,Pfizer Herself,Occur level work candidate this assume huge response long improve.,10,Health,Pfizer,160.67999267578125,2025-09-24,,1,217,20240730,20250924
167,167,Bridgestone Than,Available win politics last quite general there sister policy consider.,11,Automotive,Bridgestone,287.92999267578125,2025-09-24,,1,232,20231225,20250924
168,168,Staedtler Lead,Treat area buy check clearly follow remember generation wait.,12,Stationery,Staedtler,19.209999084472656,2025-09-24,,1,369,20250811,20250924
169,169,Samsung Federal,Economy play nearly by field.,1,Electronics,Samsung,1882.9100341796875,2025-09-24,,1,486,20241103,20250924
170,170,Puma Better Plus,Political option oil commercial person top front under American.,2,Fashion,Puma,298.05999755859375,2025-09-24,,1,141,20250717,20250924
171,171,O'Reilly Air,Animal political officer prepare short.,3,Books,O'Reilly,50.790000915527344,2025-09-24,,1,151,20240804,20250924
172,172,Nivea Prepare,Marriage phone face what lot.,4,Beauty,Nivea,62.54999923706055,2025-09-24,,1,362,20250602,20250924
173,173,Under Armour Surface Pro,Father authority art keep machine daughter parent fine.,5,Sports,Under Armour,281.1499938964844,2025-09-24,,1,357,20250326,20250924
174,174,IKEA From,Wish candidate have no five letter environment easy.,6,Furniture,IKEA,1510.530029296875,2025-09-24,,1,52,20231130,20250924
175,175,Philips Apply,War ten industry while total spend value.,7,Home Appliances,Philips,714.7100219726562,2025-09-24,,1,225,20250329,20250924
176,176,Mattel Form Pro,Several marriage method material final age.,8,Toys,Mattel,54.22999954223633,2025-09-24,,1,441,20240717,20250924
177,177,Kellogg's Mouth Pro,Whom Democrat good anything manager think pressure like Mr.,9,Groceries,Kellogg's,40.66999816894531,2025-09-24,,1,37,20250705,20250924
178,178,GSK Box,Care enough hand idea and anything no guy eye.,10,Health,GSK,18.920000076293945,2025-09-24,,1,76,20240712,20250924
179,179,Bridgestone Mother,Share evidence writer quite budget window hour some fund.,11,Automotive,Bridgestone,77.29000091552734,2025-09-24,,1,127,20250914,20250924
180,180,Moleskine History,Current meeting matter and case four.,12,Stationery,Moleskine,33.880001068115234,2025-09-24,,1,305,20240917,20250924
181,181,Xiaomi Natural Lite,Chance throw cause use five hotel pattern successful order.,1,Electronics,Xiaomi,1181.22998046875,2025-09-24,,1,226,20241014,20250924
182,182,Zara Them,Mother remember feel staff happy purpose woman on someone rise.,2,Fashion,Zara,396.1099853515625,2025-09-24,,1,156,20250303,20250924
183,183,Penguin Professional,Others enter pretty will official.,3,Books,Penguin,45.70000076293945,2025-09-24,,1,485,20240310,20250924
184,184,Nivea Set,On color pick people subject.,4,Beauty,Nivea,55.13999938964844,2025-09-24,,1,41,20240108,20250924
185,185,Under Armour Term Pro,All way body affect finish charge real.,5,Sports,Under Armour,86.69999694824219,2025-09-24,,1,209,20240730,20250924
186,186,Wayfair More,Turn their save artist catch debate foot production moment finish community.,6,Furniture,Wayfair,950.4299926757812,2025-09-24,,1,16,20250824,20250924
187,187,Bosch No Max,National put test race sound enough machine whatever.,7,Home Appliances,Bosch,1060.4200439453125,2025-09-24,,1,232,20240419,20250924
188,188,LEGO Open,Different win father eye debate relate first.,8,Toys,LEGO,185.16000366210938,2025-09-24,,1,403,20240612,20250924
189,189,PepsiCo Opportunity,Explain of myself time house generation significant.,9,Groceries,PepsiCo,80.58999633789062,2025-09-24,,1,101,20240107,20250924
190,190,Pfizer Fill Plus,Explain research get kind either.,10,Health,Pfizer,195.35000610351562,2025-09-24,,1,465,20240922,20250924
191,191,Continental Difficult,Still even no even body scientist.,11,Automotive,Continental,66.41000366210938,2025-09-24,,1,84,20240319,20250924
192,192,Staedtler Eight,Prove most point appear including.,12,Stationery,Staedtler,66.11000061035156,2025-09-24,,1,471,20250326,20250924
193,193,Sony Marriage,Race case who within citizen.,1,Electronics,Sony,1224.8800048828125,2025-09-24,,1,155,20250204,20250924
194,194,Puma Worry,Local current white fly position traditional become off movement.,2,Fashion,Puma,116.18000030517578,2025-09-24,,1,276,20250330,20250924
195,195,Macmillan To,Tree company think compare try.,3,Books,Macmillan,37.88999938964844,2025-09-24,,1,455,20250626,20250924
196,196,Estée Lauder Industry,Control see the face also fear owner up friend.,4,Beauty,Estée Lauder,121.93000030517578,2025-09-24,,1,13,20240902,20250924
197,197,Puma Put Pro,Modern threat care mean evening speak former room possible responsibility.,5,Sports,Puma,499.7900085449219,2025-09-24,,1,344,20230926,20250924
198,198,Wayfair Since,So nothing serious compare task today still middle.,6,Furniture,Wayfair,1530.9599609375,2025-09-24,,1,89,20231122,20250924
199,199,KitchenAid Institution,Continue cell food easy end.,7,Home Appliances,KitchenAid,674.5,2025-09-24,,1,142,20240316,20250924
200,200,LEGO Likely,West few reveal activity president realize artist.,8,Toys,LEGO,90.0,2025-09-24,,1,416,20231216,20250924
201,201,Kellogg's Make,Civil rather type thousand show real police.,9,Groceries,Kellogg's,47.529998779296875,2025-09-24,,1,209,20250915,20250924
